,city,id,links,name,phone_numbers,state,street_address,zip_code
161,RANGELY,7752,['http://www.cncc.edu/'],COLORADO NORTHWESTERN COMMUNITY COLLEGE,['(970) 675-3205'],CO,500 KENNEDY DRIVE,81648
162,COLORADO SPRINGS,9878,['http://www.regis.edu/about-regis-university/campus-locations/colorado-springs.aspx'],COLORADO SPRINGS CAMPUS,['303-458-4941'],CO,"7450 CAMPUS DRIVE, SUITE 100",80920
163,AURORA,8825,['http://www.ccaurora.edu/'],COMMUNITY COLLEGE OF AURORA,['(303) 361-7431'],CO,16000 EAST CENTRETECH PARKWAY,80011
164,BUCKLEY AFB,7191,['http://www.ccaurora.edu'],COMMUNITY COLLEGE OF AURORA,['(303) 360-4948'],CO,"18401 E. A BASIN, STOP 97",80011
165,DENVER,8972,['http://www.ccd.edu/testing/'],COMMUNITY COLLEGE OF DENVER,['303-556-2400'],CO,1201 5TH STREET,80204
166,DELTA,9482,['http://www.dmavtc.tec.co.us/'],DELTA MONTROSE AREA VOCATIONAL TECHNICAL CENTER,['970-874-6565'],CO,1765 U.S. HIGHWAY 50,81416
167,,9877,['http://www.regis.edu/about-regis-university/campus-locations/denver-tech-center.aspx'],DENVER TECH CENTER CAMPUS,['303-458-4941'],,"6380 SOUTH FIDDLERS GREEN CIRCLE, SUITE 200",
168,DURANGO,9152,['http://www.fortlewis.edu/'],FORT LEWIS COLLEGE,['970-382-6938'],CO,"1000 RIM DRIVE, NOBLE 287",81301
169,LONGMONT,8364,['http://www.frontrange.edu/'],FRONT RANGE COMMUNITY COLLEGE,['303-678-3722'],CO,2190 MILLER DRIVE,80501
170,FORT COLLINS,7791,['http://www.frontrange.edu/'],FRONT RANGE COMMUNITY COLLEGE,['970-204-8122'],CO,4616 SOUTH SHIELDS STREET,80526
171,WESTMINSTER,8003,['http://www.frontrange.edu/'],FRONT RANGE COMMUNITY COLLEGE - WESTMINSTER CAMPUS,['(303) 404-5301'],CO,3645 WEST 112TH AVENUE,80031
172,FORT MORGAN,8832,['http://www.morgancc.edu/'],MORGAN COMMUNITY COLLEGE,['970-542-3188'],CO,920 BARLOW ROAD,80701
173,COLORADO SPRINGS,8617,['http://www.national.edu/'],NATIONAL AMERICAN UNIVERSITY,['(719) 208-3800'],CO,"1079 SPACE CENTER DRIVE, STE 140",80915
174,COLORADO SPRINGS,8137,['http://www.national.edu'],NATIONAL AMERICAN UNIVERSITY,['(719) 590-8300'],CO,1915 JAMBOREE DRIVE,80920
175,STERLING,8769,['http://www.njc.edu/'],NORTHEASTERN JUNIOR COLLEGE,['970-521-6657'],CO,100 COLLEGE DR,80751
176,LA JUNTA,9268,['http://www.ojc.edu/'],OTERO JUNIOR COLLEGE,['(719) 384-6948'],CO,1903 SAN JUAN AVENUE,81050
177,PAFB,7145,['http://www.ppcc.edu/'],PIKES PEAK COMMUNITY COLLEGE,['719-502-4300'],CO,EDUCATION CENTER,80914
178,COLORADO SPRINGS,9279,['http://www.ppcc.edu/'],PIKES PEAK COMMUNITY COLLEGE,['(719) 502-3370'],CO,"5675 SOUTH ACADEMY BLVD, TESTING CENTER C 36",80906
179,USAFA,7144,['http://www.ppcc.edu/'],PIKES PEAK COMMUNITY COLLEGE,['719-333-2898'],CO,EDUCATION SERVICES,80840
180,FORT CARSON,7146,['http://www.ppcc.edu/'],PIKES PEAK COMMUNITY COLLEGE,['719-502-4200'],CO,EDUCATION CENTER,80913
181,PUEBLO,8599,['http://www.pueblocc.edu/'],PUEBLO COMMUNITY COLLEGE,['719-549-3382'],CO,"900 WEST ORMAN AVENUE, ACADEMIC BUILDING 150",81004
182,LAKEWOOD,7979,['http://www.rrcc.edu//'],RED ROCKS COMMUNITY COLLEGE,['303 914 6720'],CO,13300 W. 6TH AVE.,80228
183,DENVER,9938,['http://regis.edu/testing'],REGIS UNIVERSITY-FLAGSHIP CAMPUS,['(303) 458-4375'],CO,3333 REGIS BLVD CLARKE HALL STE 241,80221
184,LONE TREE,8183,['http://phoenix.edu'],UNIVERSITY OF PHOENIX - COLORADO CAMPUS,['(303) 600-1178'],CO,10004 PARK MEADOWS DRIVE,80124
185,COLORADO SPRINGS,9137,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX - COLORADO SPRINGS DOWNTOWN,['(719) 235-4058'],CO,"2 NORTH CASCADE AVENUE, SUITE 100",80903
186,NEWINGTON,9928,['http://www.cosc.edu/'],CHARTER OAK STATE COLLEGE - TESTING CENTER,['(860) 515-3708'],CT,85 ALUMNI ROAD,06111
187,GROTON,9533,['http://www.easternnct.edu/'],EASTERN CONNECTICUT STATE UNIVERSITY,['860-446-9457'],CT,591 POQUONNOUCK ROAD,06340
188,BRIDGEPORT,9454,['http://www.hctc.commnet.edu/'],HOUSATONIC COMMUNITY TECHNICAL COLLEGE,['203-332-5217'],CT,900 LAFAYETTE BLVD,06604
189,WOODBRIDGE,8618,['http://www.metrotestingct.com/'],METRO TESTING SERVICE,['(203) 672-5758'],CT,"30 HAZEL TER, SUITE 4",06525
190,STAMFORD,9338,['http://www.metrotestingct.com/stamford1.html'],METRO TESTING SERVICE- STAMFORD,['(203) 658-3702'],CT,"110 LENOX AVE, SUITE 102",06906
191,HARTFORD,8416,['http://www.patricksacademy.com/'],PATRICK\\'S ACADEMY,['866-920-0769'],CT,"99 PRATT STREET, SUITE 209",06103
192,DANIELSON,9605,['http://www.qvcc.commnet.edu/'],QUINEBAUG VALLEY COMMUNITY COLLEGE,[],CT,742 UPPER MAPLE STREET,06239
193,FAIRFIELD,8380,['http://www.sacredheart.edu/'],SACRED HEART UNIVERSITY,['203-323-4959'],CT,5151 PARK AVE,06825
194,NORWICH,9233,['http://www.trctc.commnet.edu/'],THREE RIVERS COMMUNITY TECHNICAL COLLEGE,['(860) 215-9061'],CT,574 NEW LONDON TURNPIKE,06360
195,WASHINGTON,9725,['http://www.strayer.edu/'],STRAYER UNIVERSITY,['202-722-8118'],DC,"6830 LAUREL STREET, NW",20012
196,WASHINGTON,8351,['http://www.strayer.edu/'],STRAYER UNIVERSITY,['(202) 419-0485'],DC,1133 15TH STREET NW,20005
197,WASHINGTON,7180,['http://www.umuc.edu/'],UMUC NATIONAL TESTING CENTER - JOINT BASE ANACOSTIA-BOLLING,['(301) 887-7183'],DC,112 BROOKLEY AVENUE,20023
198,WASHINGTON,8956,['http://phoenix.edu'],UNIVERSITY OF PHOENIX - WASHINGTON DC CAMPUS,['(202) 471-3728'],DC,25 MASSACHUSETTS AVENUE,20001
199,DOVER,9464,['http://www.desu.edu/'],DELAWARE STATE UNIVERSITY,['302-857-6143'],DE,1200 NORTH DUPONT HIGHWAY,19901
200,WILMINGTON,8594,['http://www.springfieldcollege.edu/'],SPRINGFIELD COLLEGE,['302-658-5720 X214'],DE,"1007 ORANGE STREET, SUITE 500",19801
201,NEWARK,9730,['http://www.strayer.edu/'],STRAYER UNIVERSITY,['302-292-6129'],DE,"240 CONTINENTAL DRIVE, SUITE 108",19713
202,DOVER,7121,['http://www.wilmu.edu/'],WILMINGTON UNIVERSITY,['302-674-8726'],DE,"436 FSS/FSDE, 261 CHAD STREET, ROOM 301",19902
203,TAMPA,9042,['http://www.argosyu.edu/'],ARGOSY UNIVERSITY,['813-463-7165'],FL,1403 N. HOWARD AVENUE,33607
204,SARASOTA,8212,['http://www.argosyu.edu/'],ARGOSY UNIVERSITY,['941-379-0404'],FL,5250 17TH STREET,34235
205,ORLANDO,9685,['http://www.belhaven.edu'],BELHAVEN COLLEGE,['(407) 379-0114'],FL,"5200 VINELINE ROAD, STE 100",32811
206,OCALA,8717,['http://www.cf.edu/'],CENTRAL FLORIDA COMMUNITY COLLEGE,['(352) 854-2322 EX. 1332'],FL,"3001 SW COLLEGE ROAD, BUILDING #5, 205 H",34474
207,LECANTO,7712,['http://www.cf.edu/'],CENTRAL FLORIDA COMMUNITY COLLEGE,['352-249-1213'],FL,3800 S. LECANTO HIGHWAY,34461
208,NAS PENSACOLA,7217,['http://military.coastline.edu/'],COASTLINE COMMUNITY COLLEGE,['850-455-9577'],FL,"250 CHAMBERS AVENUE, BUILDING 634, SUITE 023",32508
209,PATRICK AIR FORCE BASE,7128,['http://www.ccis.edu/nationwide/pafb/'],COLUMBIA COLLEGE,['321-783-5506'],FL,"1020 CENTRAL AVENUE, E-1",32925
210,ORLANDO,9819,['http://www.ccis.edu/nationwide/orlando/'],COLUMBIA COLLEGE,['407-293-9911'],FL,"2600 TECHNOLOGY DRIVE, SUITE 100",32804
211,MELBOURNE,8816,['http://www.easternflorida.edu'],EASTERN FLORIDA STATE COLLEGE,['(321) 433-5876'],FL,3865 NORTH WICKHAM ROAD (10-218),32935
212,ST PETERSBURG,9551,['http://www.eckerd.edu/'],ECKERD COLLEGE,['(727) 864-8366'],FL,"SPECIAL PROGRAMS DIVISION, 4200 54TH AVENUE SOUTH",33711
213,TALLAHASSEE,9099,['http://www.famu.edu/'],FLORIDA A &AMP; M UNIVERSITY,['850-599-3333'],FL,110 SUNSHINE MANOR,32307
214,BOCA RATON,7726,['http://www.fau.edu/'],FLORIDA ATLANTIC UNIVERSITY,['(561) 297-3160'],FL,777 GLADES ROAD,33431
215,FORT MYERS,9713,['http://studentservices.fgcu.edu/testing'],FLORIDA GULF COAST UNIVERSITY,['239-590-7955'],FL,"10501 FGCU BLVD SOUTH, MCTARNAGHAN HALL, ROOM 204",33965
216,MIAMI,8000,['https://testing.fiu.edu'],FLORIDA INTERNATIONAL UNIVERSITY,['(305) 348-2116'],FL,11200 SW 8TH ST,33199
217,NORTH MIAMI,9463,['http://testing.fiu.edu'],FLORIDA INTERNATIONAL UNIVERSITY (BISCAYNE BAY CAMPUS),['(305) 919-4043'],FL,3000 N.E. 151ST STREET,33181
218,KEY WEST,8524,['http://www.fkcc.edu/'],FLORIDA KEYS COMMUNITY COLLEGE,['305-809-3250 X250'],FL,5901 COLLEGE ROAD,33040
219,MIAMI GARDENS,7793,['http://www.fmuniv.edu//'],FLORIDA MEMORIAL UNIVERSITY,['305-626-3600'],FL,15800 NW 42ND AVE,33054
220,LAKELAND,9466,['http://www.flsouthern.edu/'],FLORIDA SOUTHERN COLLEGE,['863-680-4299'],FL,111 LAKE HOLLINGSWORTH DRIVE,33801
221,JACKSONVILLE,7711,['http://www.fscj.edu/mydegree/campuses/cecil-center/'],FLORIDA STATE COLLEGE AT JACKSONVILLE - CECIL CENTER,['904-779-4129'],FL,5640 NEW WORLD AVE,32221
222,JACKSONVILLE,8554,['http://www.fscj.edu/mydegree/campuses/deerwood-center/'],FLORIDA STATE COLLEGE AT JACKSONVILLE - DEERWOOD CAMPUS,['(904) 997-2619'],FL,9911 OLD BAYMEADOWS RD,32256
223,JACKSONVILLE,9683,['http://www.fscj.edu/'],FLORIDA STATE COLLEGE- DOWNTOWN,['904-632-5077'],FL,101 WEST STATE ST. ROOM 1021,32202
224,JACKSONVILLE,8621,['http://www.fccj.org/'],FLORIDA STATE COLLEGE- KENT CAMPUS,['904-381-3705'],FL,"KENT CAMPUS, 3939 ROOSEVELT, BLDG A, RM 104",32205
225,JACKSONVILLE,7102,['http://www.fscj.edu/'],FLORIDA STATE COLLEGE- NAS JAX,['904-632-5009'],FL,"BLDG 110, ROOM 16, YORKTOWN AVENUE",32212
226,JACKSONVILLE,9682,['http://www.fscj.edu/'],FLORIDA STATE COLLEGE- NORTH CAMPUS,['904-766-6708'],FL,"JACKSONVILLE CAMPUS, 4501 CAPPER ROAD",32218
227,MAYPORT,7104,['http://www.fscj.edu/'],FLORIDA STATE COLLEGE - NS MAYPORT,[],FL,"460 MASSEY AVENUE, BLDG #460",32228
228,JACKSONVILLE,9681,['http://www.fscj.edu/'],FLORIDA STATE COLLEGE- SOUTH CAMPUS,['904-646-2040'],FL,"11901 BEACH BOULEVARD, BUILDING U, ROOM 120",32246
229,TYNDALL AFB,7182,['http://www.gulfcoast.edu/'],GULF COAST STATE COLLEGE,['850-283-4332'],FL,921 BEACON BEACH ROAD,32403
230,HIALEAH,9628,['http://www.mdc.edu/main/testing'],MIAMI DADE COLLEGE - HIALEAH CAMPUS,['(305) 237-8759'],FL,1780 W. 49 STREET ROOM 1220-01,33012
231,HOMESTEAD,9627,"['http://www.mdc.edu/main/testing', 'http://www.mdc.edu/homestead/']",MIAMI DADE COLLEGE - HOMESTEAD CAMPUS,['(305) 237-5198'],FL,500 COLLEGE TERRACE,33030
232,MIAMI,8731,['http://www.mdc.edu/main/testing'],MIAMI DADE COLLEGE - MEDICAL CAMPUS,['(305) 237-4275'],FL,"950 NW 20TH ST, TESTING, RM 1303",33127
233,MIAMI,9629,['http://www.mdc.edu/north/'],MIAMI DADE COLLEGE NORTH CAMPUS,['(305) 237-1015'],FL,"NORTH TESTING, 11380 NW 27TH AVENUE, ROOM 1160",33167
234,MIAMI,8348,['http://www.mdc.edu/main/testing'],MIAMI DADE COLLEGE WEST CAMPUS,['(305) 237-8536'],FL,"3800 NW 115 AVENUE, ROOM 2110",33178
235,MIAMI,9626,['http://www.mdc.edu/main/testing'],MIAMI DADE COLLEGE - WOLFSON CAMPUS,['(305) 237-3188'],FL,"300 NE 2ND AVENUE, ROOM 3104",33132
236,NICEVILLE,7150,['http://www.nwfsc.edu/'],NORTHWEST FLORIDA STATE COLLEGE,['(850) 729-6016'],FL,100 COLLEGE BLVD E.,32578
237,HURLBURT FIELD,7114,['http://www.nwfsc.edu/'],NORTHWEST FLORIDA STATE COLLEGE - HURLBURT AFB,['(850) 200-4190'],FL,221 LUKASIK AVENUE,32544
238,FORT LAUDERDALE,9876,['http://www.nova.edu/'],NOVA SOUTHEASTERN UNIVERSITY,['954-262-8373'],FL,"TTC/COUS - STUDENT AFFAIRS BLDG., 2ND FL., 3301 COLLEGE AVENUE",33314
239,PENSACOLA,9800,['http://www.pensacolastate.edu'],PENSACOLA STATE COLLEGE,['850-484-1659'],FL,1000 COLLEGE BLVD.,32504
240,MILTON,8772,['http://www.pensacolastate.edu/'],PENSACOLA STATE COLLEGE - MILTON CAMPUS,['(850) 484-4410'],FL,5988 HIGHWAY 90,32583
241,PENSACOLA,8786,['http://www.pensacolastate.edu'],PENSACOLA STATE COLLEGE-WARRINGTON CAMPUS,['(850) 484-1076'],FL,5555 WEST HIGHWAY 98,32507
242,MACDILL AFB,7177,['http://www.saintleo.edu/'],SAINT LEO UNIVERSITY,['813-840-0259'],FL,"8102 CONDOR STREET, BUILDING 252",33621
243,KEY WEST,7337,['http://www.saintleo.edu/'],SAINT LEO UNIVERSITY,['305-293-2847'],FL,"NAVAL AIR STATION KEY WEST, BLDG A-718, ESSEX CIRCLE",33040
244,TAMPA,8320,['http://www.saintleo.edu/'],SAINT LEO UNIVERSITY,['813-226-2777'],FL,"1120 EAST KENNEDY BLVD, SUITE 238",33602
245,MADISON,9408,['http://www.saintleo.edu/'],SAINT LEO UNIVERSITY,['850-973-3356'],FL,325 NW TURNER DAVIS DRIVE,32340
246,LAKE CITY,9378,['http://www.saintleo.edu/'],SAINT LEO UNIVERSITY - LAKE CITY CENTER,['386-752-6866'],FL,149 SOUTHEAST COLLEGE PLACE,32025
247,GAINSVILLE,9470,['http://www.sfcc.edu/'],SANTA FE COMMUNITY COLLEGE,['352-395-5791'],FL,3000 NW 83RD ST,32606
248,MIAMI,7959,[],SCHOOL OF VIRTUAL AND ACADEMIC EXCELLENCE,[],FL,13416 SW 131ST STREET,33186
249,ALTAMONTE SPRINGS,7805,['http://www.seminolestate.edu/'],SEMINOLE STATE COLLEGE OF FLORIDA - ALTAMONTE SPRINGS CAMPUS,['(407) 404-6137'],FL,"850 S. STATE ROAD, SUITE A-103",32714
250,HEATHROW,7818,['http://www.seminolestate.edu/'],SEMINOLE STATE COLLEGE OF FLORIDA - HEATHROW CAMPUS,['(407) 708-4420'],FL,"1055 AAA DRIVE, SUITE 332",32746
251,OVIEDO,7812,['http://www.seminolestate.edu/'],SEMINOLE STATE COLLEGE OF FLORIDA - OVIEDO CAMPUS,['(407) 971-5014'],FL,"2505 LOCKWOOD BOULEVARD, SUITE F-102",32765
252,SANFORD,8624,['http://www.seminolestate.edu/'],SEMINOLE STATE COLLEGE OF FLORIDA - SANFORD/LAKE MARY,['(407) 708-2020'],FL,"ASSESSMENT &AMP; TESTING CENTER, 100 WELDON BLVD",32773
253,LAKELAND,8643,['http://www.seu.edu/'],SOUTHEASTERN UNIVERSITY,['863-667-5000'],FL,1000 LONGFELLOW BLVD,33801
254,TAMPA,9444,['http://www.springfieldcollege.edu/'],SPRINGFIELD COLLEGE,['813-936-2800'],FL,225 BUSCH BLVD,33612
255,FORT LAUDERDALE,7874,['http://www.strayer.edu/'],STRAYER UNIVERSITY,['954-745-6960'],FL,"2307 W. BROWARD BOULEVARD, STE 100",33312
256,TAMPA,9073,['http://www.strayer.edu/'],STRAYER UNIVERSITY,['813-664-9733'],FL,"5650 BRECKENRIDGE PARK DR, STE 300",33610
257,TAMPA,9944,['http://www.strayer.edu/'],STRAYER UNIVERSITY,['813-249-2461'],FL,"4902 EISENHOWER BLVD, STE 100",33634
258,CORAL SPRINGS,7798,['http://www.strayer.edu/'],STRAYER UNIVERSITY,['954-369-0700'],FL,5830 CORAL RIDGE DR SUITE 300,33076
259,PALM BEACH GARDENS,7819,['http://www.strayer.edu/'],STRAYER UNIVERSITY,['561-904-3029'],FL,"11025 RCA CENTER DRIVE, SUITE 200",33410
260,JACKSONVILLE,7760,['http://www.strayer.edu/'],STRAYER UNIVERSITY,['904-538-1029'],FL,8375 DIX-ELLIS TRAIL STE 200,32256
261,MIAMI,8052,['http://www.strayer.edu/'],STRAYER UNIVERSITY,['305-507-5729'],FL,"11430 NW 20TH ST, SUITE 150",33172
262,MIAMI,7972,['http://www.strayer.edu/'],STRAYER UNIVERSITY - BRICKELL CAMPUS,['(305) 507-5829'],FL,1201 BRICKELL AVENUE,33131
263,MIRAMAR,7937,['http://www.strayer.edu/'],STRAYER UNIVERSITY/MIRAMAR,['954-378-2429'],FL,15620 SW 29TH STREET,33027
264,MIAMI GARDENS,7857,['http://www.stu.edu/'],ST. THOMAS UNIVERSITY,['305-474-6838'],FL,16401 NW 37TH AVENUE,33054
265,EGLIN AFB,7357,['http://www.umuc.edu/'],UNIVERSITY OF MARYLAND UNIVERSITY COLLEGE,['850-882-1321'],FL,502 WEST D AVE,32542
266,ORLANDO,8979,['http://www.phoenix.edu/campus-locations/fl/central-florida-campus/central-florida-main-campus.html'],UNIVERSITY OF PHOENIX - CENTRAL FLORIDA CAMPUS,['(407) 345 8868'],FL,"8325 SOUTH PARK CIRCLE, SUITE 100",32819
267,FORT LAUDERDALE,8885,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX - CYPRESS CREEK LEARNING CENTER,['(954) 308-7051'],FL,550 W. CYPRESS CREEK ROAD,33309
268,JACKSONVILLE,8280,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX - NORTH FLORIDA CAMPUS,['(904) 779-4552'],FL,"4500 SALISBURY ROAD N. , SUITE 200",32216
269,MIRAMAR,9032,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX - SOUTH FLORIDA MAIN CAMPUS,['(866) 766-0766'],FL,"2400 SW 145TH AVE, SUITE 150",33027
270,TEMPLE TERRACE,8960,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX - WEST FLORIDA LEARNING CENTER,['(813) 626 7911'],FL,"12802 TAMPA OAKS BLVD, SUITE 100",33637
271,TAMPA,7917,['http://www.usf.edu/testing-services/'],UNIVERSITY OF SOUTH FLORIDA,['(813) 974-2742'],FL,3220 USF BANYAN CIRCLE,33613
272,BABSON PARK,8994,['http://www.webber.edu/'],WEBBER COLLEGE,['941-638-1431'],FL,1201 NORTH SCENIC HWY,33827
273,COOPER CITY,8773,['http://www.westlakeschool.com/'],WESTLAKE PREPARATORY SCHOOL,['(954) 236-2300'],FL,8950 STIRLING RD,33024
274,MIAMI,8365,['http://worldhopeacademy.org/'],WORLD HOPE ACADEMY,['786-592-2384'],FL,"15190 SW 136 ST, SUITE 26",33196
275,TIFTON,8268,['http://stallion.abac.peachnet.edu/'],ABRAHAM BALDWIN AGRICULTURAL COLLEGE,['229-391-4817'],GA,2802 MOORE HIGHWAY,31793
276,ALBANY,9727,['http://www.asurams.edu/'],ALBANY STATE UNIVERSITY,['229-430-1631'],GA,"504 COLLEGE DRIVE, ACAD 195",31705
277,ATLANTA,8817,[],AMPRESS GLOBAL,['(404) 410-9999'],GA,1401 PEACHTREE STREET NE,30309
278,NORCROSS,8677,['http://www.aonestaffing.com/'],A-ONE STAFFING LLC,['770-595-9045'],GA,"5825 LIVE OAK PARKWAY, SUITE 2A",30093
279,SAVANNAH,9046,['http://www.armstrong.edu/'],ARMSTRONG ATLANTIC STATE UNIVERSITY,['912-344-2582'],GA,11935 ABERCORN ST,31419
280,WARNER ROBINS,9297,['http://gavectr.org/services.html'],CENTRAL GEORGIA TECHNICAL COLLEGE (VECTR),['(478) 218-3915'],GA,1001 S. ARMED FORCES BLVD,31088
281,LAWRENCEVILLE,8552,['http://www.cierratec.com/'],CIERRA TEC,['678-389-4322'],GA,"3664 CLUB DRIVE, SUITE 101",30044
282,HUNTER ARMY AIR FIELD,7235,['http://www.ccis.edu/nationwide/hunter/'],COLUMBIA COLLEGE,['912-352-8635'],GA,"165 MARKWELL STREET, BUILDING 1290, SUITE 16",31409
283,FORT STEWART,7103,['http://www.ccis.edu/nationwide/ftstewart/'],COLUMBIA COLLEGE,['912 767-7558'],GA,"100 KNOWLEDGE DRIVE, SUITE 147",31314
284,COLUMBUS,9113,['http://www.columbusstate.edu/'],COLUMBUS STATE UNIVERSITY,['706-568-2226'],GA,4225 UNIVERSITY AVE,31907
285,DECATUR,9258,['http://www.csp2online.com'],COMPUTER SERVICES PLUS ONLINE,['(770) 609-7180'],GA,"5304 PANOLA INDUSTRIAL BLVD, SUITE I",30035
286,DALTON,7754,['http://www.daltonstate.edu'],DALTON STATE COLLEGE,['706-272-2606'],GA,650 COLLEGE DRIVE,30720
287,ALPHARETTA,7821,['http://www.devry.edu/'],DEVRY UNIVERSITY,['770-619-3570'],GA,2555 NORTHWINDS PARKWAY,30009
288,DECATUR,7826,['http://www.devry.edu/'],DEVRY UNIVERSITY,['404-270-2706'],GA,"ONE WEST COURT SQUARE, STE 100",30030
289,LAWRENCEVILLE,9120,['http://www.ggc.edu/'],GEORGIA GWINNETT COLLEGE,['(678) 407-5240'],GA,1000 UNIVERSITY CENTER LANE,30043
290,DUNWOODY,8124,['http://www.gpc.edu/'],GEORGIA PERIMETER COLLEGE,['770-551-5443'],GA,"2101 WOMACK ROAD, BLDG NC, RM 1261",30338
291,AUGUSTA,9049,['http://www.gru.edu/'],GEORGIA REGENTS UNIVERSITY,['706-737-1471'],GA,2500 WALTON WAY,30904
292,STATESBORO,8039,['http://academics.georgiasouthern.edu/testing/'],GEORGIA SOUTHERN UNIVERSITY,['912-478-5415'],GA,"HERTY DRIVE, CONE HALL, ROOM 2031",30460
293,ATLANTA,9700,['http://www.gsu.edu/'],GEORGIA STATE UNIVERSITY,['404-413-1736'],GA,"75 PIEDMONT AVENUE NE, SUITE 200 A",30303
294,BARNESVILLE,9231,['http://www.gordonstate.edu/'],GORDON STATE COLLEGE,['678-359-5139'],GA,419 COLLEGE DRIVE,30204
295,KENNESAW,8902,['http://testing.kennesaw.edu/'],KENNESAW STATE UNIVERSITY - KENNESAW,['(470) 578-4800'],GA,"3333 BUSBEE DRIVE, MD3313 KSU CENTER SUITE 350",30144
296,MARIETTA,8903,['http://testing.kennesaw.edu/'],KENNESAW STATE UNIVERSITY - MARIETTA,['(470) 578-3982'],GA,1100 SOUTH MARIETTA PARKWAY,30060
297,LA GRANGE,8105,['http://www.lagrange.edu/'],LAGRANGE COLLEGE,['706-880-8924'],GA,601 BROAD ST,30240
298,MARIETTA,9647,['http://www.life.edu/'],LIFE UNIVERSITY,['(770) 426-2723'],GA,1269 BARCLAY CIRCLE,30060
299,MACON,8770,['http://www.mga.edu/testing-services/dantes.aspx'],MIDDLE GEORGIA STATE UNIVERSITY,['(478) 757-2547'],GA,100 COLLEGE STATION DRIVE,31206
300,WARNER ROBINS,7351,['http://www.maconstate.edu/'],MIDDLE GEORGIA STATE UNIVERSITY,['(478) 471 2700'],GA,100 UNIVERSITY BLVD,31093
301,EAST POINT,7719,['http://www.acc.edu/'],POINT UNIVERSITY,['404-460-2480'],GA,2605 BEN HILL ROAD,30344
302,SAVANNAH,8117,['http://www.savannahstate.edu/'],SAVANNAH STATE UNIVERSITY,['(912) 356-2744'],GA,"259 WHITING HALL, TOMPKINS ROAD",31404
303,MORROW,9483,['http://www.strayer.edu/'],STRAYER UNIVERSITY,['678-422-4129'],GA,"3000 CORPORATE CENTER, SUITE 100",30260
304,LITHONIA,7733,['http://www.strayer.edu/'],STRAYER UNIVERSITY,['(678) 323-7729'],GA,"3120 STONECREST BLVD, SUITE 200",30038
305,DOUGLASVILLE,7724,['http://www.strayer.edu/'],STRAYER UNIVERSITY,['678-715-2229'],GA,4655 TIMBER RIDGE DRIVE,30135
306,ROSWELL,9227,['http://www.strayer.edu/'],STRAYER UNIVERSITY,['770-650-3029'],GA,"100 MANSELL COURT EAST, SUITE 100",30076
307,AUGUSTA,7855,['http://www.strayer.edu/'],STRAYER UNIVERSITY,['706-447-3629'],GA,1330 AUGUSTA WEST PARKWAY,30909
308,ATLANTA,8096,['http://www.strayer.edu/'],STRAYER UNIVERSITY,['770-234-0637'],GA,"3355 NORTHEAST EXPRESSWAY, STE 100",30341
309,COLUMBUS,7781,['http://www.strayer.edu/'],STRAYER UNIVERSITY,['706-225-5329'],GA,6003 VETERANS PARKWAY,31909
310,SAVANNAH,7848,['http://www.strayer.edu/'],STRAYER UNIVERSITY,['912-921-2929'],GA,20 MARTIN COURT,31419
311,FORT BENNING,7186,['http://www.troy.edu/'],TROY UNIVERSITY,['(706) 660-2318'],GA,"BUILDING 9230, SUITE 1323",31995
312,AUGUSTA,9808,['http://www.troy.edu/'],TROY UNIVERSITY,['706-210-2823'],GA,"2743 PERIMETER PARKWAY, SUITE 201",30909
313,FORT GORDON,7126,['http://www.troy.edu/'],TROY UNIVERSITY - FORT GORDON,['(706) 210-3800'],GA,"741 BARNES AVENUE, BLDG 21606",30905
314,FORT GORDON,7374,['http://www.umuc.edu/military-and-veterans/why-umuc/worldwide-and-regional-locations.cfm'],UMUC US- FORT GORDAN,['(301) 832-7103'],GA,271 HERITAGE PARK LANE,30905
315,DAHLONEGA,9212,['http://www.ung.edu/testing/'],UNIVERSITY OF NORTH GEORGIA - DAHLONEGA CAMPUS,['706-864-1799'],GA,82 COLLEGE CIRCLE,30597
316,OAKWOOD,9209,['http://www.ung.edu/testing/'],UNIVERSITY OF NORTH GEORGIA - GAINESVILLE CAMPUS,['678-717-3863'],GA,3820 MUNDY MILL ROAD,30566
317,WATKINSVILLE,9215,['http://www.ung.edu/testing/'],UNIVERSITY OF NORTH GEORGIA - OCONEE CAMPUS,['706-310-6308'],GA,1201 BISHOP FARMS PARKWAY,30677
318,AUGUSTA,7853,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX - AUGUSTA CAMPUS,['(706) 868-2013'],GA,"3150 PERIMETER PARKWAY, STE 100",30909
319,COLUMBUS,8939,['http://www.phoenix.edu/'],UNIVERSITY OF PHOENIX - COLUMBUS NORTH LAKE CAMPUS,['(706) 317-3924'],GA,7200 NORTH LAKE DRIVE,31909
320,ATLANTA,8686,['http://www.phoenix.edu/campus-locations/ga/atlanta-campus/dekalb-learning-center.html'],UNIVERSITY OF PHOENIX - DEKALB LEARNING CENTER,['678-731-0555'],GA,859 MT. VERNON HWY NE,30328
