,Address,City,State,Zip,id,link,name,phone
162,"7450 CAMPUS DRIVE, SUITE 100",COLORADO SPRINGS,SP,80920,9878,http://www.regis.edu/about-regis-university/campus-locations/colorado-springs.aspx,COLORADO SPRINGS CAMPUS,303-458-4941
163,16000 EAST CENTRETECH PARKWAY,AURORA,CO,80011,8825,http://www.ccaurora.edu/,COMMUNITY COLLEGE OF AURORA,303) 361-7431
164,"18401 E. A BASIN, STOP 97",BUCKLEY AFB,AF,80011,7191,http://www.ccaurora.edu,COMMUNITY COLLEGE OF AURORA,303) 360-4948
165,1201 5TH STREET,DENVER,CO,80204,8972,http://www.ccd.edu/testing/,COMMUNITY COLLEGE OF DENVER,303-556-2400
166,1765 U.S. HIGHWAY 50,DELTA,CO,81416,9482,http://www.dmavtc.tec.co.us/,DELTA MONTROSE AREA VOCATIONAL TECHNICAL CENTER,970-874-6565
167,"6380 SOUTH FIDDLERS GREEN CIRCLE, SUITE 200",GREENWOOD,VI,80111,9877,http://www.regis.edu/about-regis-university/campus-locations/denver-tech-center.aspx,DENVER TECH CENTER CAMPUS,303-458-4941
168,"1000 RIM DRIVE, NOBLE 287",DURANGO,CO,81301,9152,http://www.fortlewis.edu/,FORT LEWIS COLLEGE,970-382-6938
169,4616 SOUTH SHIELDS STREET,FORT COLLINS,CO,80526,7791,http://www.frontrange.edu/,FRONT RANGE COMMUNITY COLLEGE,970-204-8122
170,2190 MILLER DRIVE,LONGMONT,CO,80501,8364,http://www.frontrange.edu/,FRONT RANGE COMMUNITY COLLEGE,303-678-3722
171,3645 WEST 112TH AVENUE,WESTMINSTER,CO,80031,8003,http://www.frontrange.edu/,FRONT RANGE COMMUNITY COLLEGE - WESTMINSTER CAMPUS,303) 404-5301
172,920 BARLOW ROAD,FORT MORGAN,MO,80701,8832,http://www.morgancc.edu/,MORGAN COMMUNITY COLLEGE,970-542-3188
173,"1079 SPACE CENTER DRIVE, STE 140",COLORADO SPRINGS,SP,80915,8617,http://www.national.edu/,NATIONAL AMERICAN UNIVERSITY,719) 208-3800
174,1915 JAMBOREE DRIVE,COLORADO SPRINGS,SP,80920,8137,http://www.national.edu,NATIONAL AMERICAN UNIVERSITY,719) 590-8300
175,100 COLLEGE DR,STERLING,CO,80751,8769,http://www.njc.edu/,NORTHEASTERN JUNIOR COLLEGE,970-521-6657
176,1903 SAN JUAN AVENUE STUDENT SERVICES - MCBRIDE HALL ROOM #132,LA JUNTA,JU,81050,9268,http://www.ojc.edu/,OTERO JUNIOR COLLEGE,719) 384-6948
177,EDUCATION CENTER,PAFB,CO,80914,7145,http://www.ppcc.edu/,PIKES PEAK COMMUNITY COLLEGE,719-502-4300
178,"5675 SOUTH ACADEMY BLVD, TESTING CENTER C 36",COLORADO SPRINGS,SP,80906,9279,http://www.ppcc.edu/,PIKES PEAK COMMUNITY COLLEGE,719) 502-3370
179,EDUCATION CENTER,FORT CARSON,CA,80913,7146,http://www.ppcc.edu/,PIKES PEAK COMMUNITY COLLEGE,719-502-4200
180,EDUCATION SERVICES,USAFA,CO,80840,7144,http://www.ppcc.edu/,PIKES PEAK COMMUNITY COLLEGE,719-333-2898
181,"900 WEST ORMAN AVENUE, ACADEMIC BUILDING 150",PUEBLO,CO,81004,8599,http://www.pueblocc.edu/,PUEBLO COMMUNITY COLLEGE,719-549-3382
182,13300 W. 6TH AVE.,LAKEWOOD,CO,80228,7979,http://www.rrcc.edu//,RED ROCKS COMMUNITY COLLEGE,303 914 6720
183,REGISTER VIA BELOW WEBSITE3333 REGIS BLVD CLARKE HALL STE 241,DENVER,CO,80221,9938,http://regis.edu/testing,REGIS UNIVERSITY-FLAGSHIP CAMPUS,303) 458-4375
184,10004 PARK MEADOWS DRIVE,LONE TREE,TR,80124,8183,http://phoenix.edu,UNIVERSITY OF PHOENIX - COLORADO CAMPUS,303) 600-1178
185,"2 NORTH CASCADE AVENUE, SUITE 100",COLORADO SPRINGS,SP,80903,9137,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX - COLORADO SPRINGS DOWNTOWN,719) 235-4058
186,85 ALUMNI ROAD,NEWINGTON,CT,06111,9928,http://www.cosc.edu/,CHARTER OAK STATE COLLEGE - TESTING CENTER,860) 515-3708
187,591 POQUONNOUCK ROAD,GROTON,CT,06340,9533,http://www.easternnct.edu/,EASTERN CONNECTICUT STATE UNIVERSITY,860-446-9457
188,900 LAFAYETTE BLVD,BRIDGEPORT,CT,4704,9454,http://www.hctc.commnet.edu/,HOUSATONIC COMMUNITY TECHNICAL COLLEGE,203-332-5217
189,"30 HAZEL TER, SUITE 4",WOODBRIDGE,CT,06525,8618,http://www.metrotestingct.com/,METRO TESTING SERVICE,203) 672-5758
190,"110 LENOX AVE, SUITE 102",STAMFORD,CT,06906,9338,http://www.metrotestingct.com/stamford1.html,METRO TESTING SERVICE- STAMFORD,203) 658-3702
191,"99 PRATT STREET, SUITE 209",HARTFORD,CT,06103,8416,http://www.patricksacademy.com/,PATRICK\\'S ACADEMY,866-920-0769
192,742 UPPER MAPLE STREET,DANIELSON,CT,06239,9605,http://www.qvcc.commnet.edu/,QUINEBAUG VALLEY COMMUNITY COLLEGE,860- 932- 4055
193,5151 PARK AVE,FAIRFIELD,CT,06825,8380,http://www.sacredheart.edu/,SACRED HEART UNIVERSITY,203-323-4959
194,574 NEW LONDON TURNPIKE,NORWICH,CT,06360,9233,http://www.trctc.commnet.edu/,THREE RIVERS COMMUNITY TECHNICAL COLLEGE,860) 215-9061
195,1133 15TH STREET NW,WASHINGTON,DC,20005,8351,http://www.strayer.edu/,STRAYER UNIVERSITY,202) 419-0485
196,"6830 LAUREL STREET, NW",WASHINGTON,DC,20012,9725,http://www.strayer.edu/,STRAYER UNIVERSITY,202-722-8118
197,112 BROOKLEY AVENUE,WASHINGTON,DC,20023,7180,http://www.umuc.edu/,UMUC NATIONAL TESTING CENTER - JOINT BASE ANACOSTIA-BOLLING,301) 887-7183
198,25 MASSACHUSETTS AVENUE,WASHINGTON,DC,20001,8956,http://phoenix.edu,UNIVERSITY OF PHOENIX - WASHINGTON DC CAMPUS,571) 227-7083
199,"DOVER, DE   19901-2277",302,,6143,9464,http://www.desu.edu/,DELAWARE STATE UNIVERSITY,302-857-SNOW (WEATHER LINE)
200,"1007 ORANGE STREET, SUITE 500",WILMINGTON,DE,19801,8594,http://www.springfieldcollege.edu/,SPRINGFIELD COLLEGE,302-658-5720 X214
201,"240 CONTINENTAL DRIVE, SUITE 108",NEWARK,DE,19713,9730,http://www.strayer.edu/,STRAYER UNIVERSITY,302-292-6129
202,"436 FSS/FSDE, 261 CHAD STREET, ROOM 301",DOVER,DE,19902,7121,http://www.wilmu.edu/,WILMINGTON UNIVERSITY,302-674-8726
203,5250 17TH STREET,SARASOTA,FL,34235,8212,http://www.argosyu.edu/,ARGOSY UNIVERSITY,941-379-0404
204,1403 N. HOWARD AVENUE,TAMPA,FL,33607,9042,http://www.argosyu.edu/,ARGOSY UNIVERSITY,813-463-7165
205,"5200 VINELINE ROAD, STE 100",ORLANDO,FL,32811,9685,http://www.belhaven.edu,BELHAVEN COLLEGE,407) 379-0114
206,3800 S. LECANTO HIGHWAY,LECANTO,FL,9026,7712,http://www.cf.edu/,CENTRAL FLORIDA COMMUNITY COLLEGE,352-249-1213
207,"3001 SW COLLEGE ROAD, BUILDING #5, 205 H",OCALA,FL,34474,8717,http://www.cf.edu/,CENTRAL FLORIDA COMMUNITY COLLEGE,352) 854-2322 EX. 1332
208,"250 CHAMBERS AVENUE, BUILDING 634, SUITE 023",NAS PENSACOLA,PE,32508,7217,http://military.coastline.edu/,COASTLINE COMMUNITY COLLEGE,850-455-9577
209,"2600 TECHNOLOGY DRIVE, SUITE 100",ORLANDO,FL,32804,9819,http://www.ccis.edu/nationwide/orlando/,COLUMBIA COLLEGE,407-293-9911
210,"1020 CENTRAL AVENUE, E-1",PATRICK AIR FORCE BASE,AI,32925,7128,http://www.ccis.edu/nationwide/pafb/,COLUMBIA COLLEGE,321-783-5506
211,3865 NORTH WICKHAM ROAD (10-218),MELBOURNE,FL,32935,8816,http://www.easternflorida.edu,EASTERN FLORIDA STATE COLLEGE,321) 433-5876
212,"SPECIAL PROGRAMS DIVISION, 4200 54TH AVENUE SOUTH",ST PETERSBURG,PE,33711,9551,http://www.eckerd.edu/,ECKERD COLLEGE,727) 864-8366
213,110 SUNSHINE MANOR,TALLAHASSEE,FL,32307,9099,http://www.famu.edu/,FLORIDA A &AMP; M UNIVERSITY,850-599-3333
214,777 GLADES ROAD,BOCA RATON,RA,33431,7726,http://www.fau.edu/,FLORIDA ATLANTIC UNIVERSITY,561) 297-3160
215,"10501 FGCU BLVD SOUTH, MCTARNAGHAN HALL, ROOM 204",FORT MYERS,MY,33965,9713,http://studentservices.fgcu.edu/testing,FLORIDA GULF COAST UNIVERSITY,239-590-7955
216,11200 SW 8TH ST,MIAMI,FL,33199,8000,https://testing.fiu.edu,FLORIDA INTERNATIONAL UNIVERSITY,305) 348-2116
217,3000 N.E. 151ST STREET,NORTH MIAMI,MI,33181,9463,http://testing.fiu.edu,FLORIDA INTERNATIONAL UNIVERSITY (BISCAYNE BAY CAMPUS),305) 919-4043
218,5901 COLLEGE ROAD,KEY WEST,WE,33040,8524,http://www.fkcc.edu/,FLORIDA KEYS COMMUNITY COLLEGE,305-809-3250 X250
219,15800 NW 42ND AVE,MIAMI GARDENS,GA,33054,7793,http://www.fmuniv.edu//,FLORIDA MEMORIAL UNIVERSITY,305-626-3600
220,111 LAKE HOLLINGSWORTH DRIVE,LAKELAND,FL,5698,9466,http://www.flsouthern.edu/,FLORIDA SOUTHERN COLLEGE,863-680-4299
221,5640 NEW WORLD AVE,JACKSONVILLE,FL,32221,7711,http://www.fscj.edu/mydegree/campuses/cecil-center/,FLORIDA STATE COLLEGE AT JACKSONVILLE - CECIL CENTER,904-779-4129
222,9911 OLD BAYMEADOWS RD,JACKSONVILLE,FL,32256,8554,http://www.fscj.edu/mydegree/campuses/deerwood-center/,FLORIDA STATE COLLEGE AT JACKSONVILLE - DEERWOOD CAMPUS,904) 997-2619
223,101 WEST STATE ST. ROOM 1021,JACKSONVILLE,FL,32202,9683,http://www.fscj.edu/,FLORIDA STATE COLLEGE- DOWNTOWN,904-632-5077
224,"KENT CAMPUS, 3939 ROOSEVELT, BLDG A, RM 104",JACKSONVILLE,FL,32205,8621,http://www.fccj.org/,FLORIDA STATE COLLEGE- KENT CAMPUS,904-381-3705
225,"BLDG 110, ROOM 16, YORKTOWN AVENUE",JACKSONVILLE,FL,32212,7102,http://www.fscj.edu/,FLORIDA STATE COLLEGE- NAS JAX,904-632-5009
226,"JACKSONVILLE CAMPUS, 4501 CAPPER ROAD",JACKSONVILLE,FL,32218,9682,http://www.fscj.edu/,FLORIDA STATE COLLEGE- NORTH CAMPUS,904-766-6708
227,"460 MASSEY AVENUE, BLDG #460",MAYPORT,FL,32228,7104,http://www.fscj.edu/,FLORIDA STATE COLLEGE - NS MAYPORT,904.632.5009
228,"11901 BEACH BOULEVARD, BUILDING U, ROOM 120",JACKSONVILLE,FL,32246,9681,http://www.fscj.edu/,FLORIDA STATE COLLEGE- SOUTH CAMPUS,904-646-2040
229,921 BEACON BEACH ROAD,TYNDALL AFB,AF,32403,7182,http://www.gulfcoast.edu/,GULF COAST STATE COLLEGE,850-283-4332
230,1780 W. 49 STREET ROOM 1220-01,HIALEAH,FL,33012,9628,http://www.mdc.edu/main/testing,MIAMI DADE COLLEGE - HIALEAH CAMPUS,305) 237-8759
231,"HOMESTEAD, FL   33030",305,,5198,9627,http://www.mdc.edu/homestead/,MIAMI DADE COLLEGE - HOMESTEAD CAMPUS,http://www.mdc.edu/main/testing
232,"950 NW 20TH ST, TESTING, RM 1303",MIAMI,FL,33127,8731,http://www.mdc.edu/main/testing,MIAMI DADE COLLEGE - MEDICAL CAMPUS,305) 237-4275
233,"NORTH TESTING, 11380 NW 27TH AVENUE, ROOM 1160",MIAMI,FL,3418,9629,http://www.mdc.edu/north/,MIAMI DADE COLLEGE NORTH CAMPUS,305) 237-1015
234,"3800 NW 115 AVENUE, ROOM 2110",MIAMI,FL,33178,8348,http://www.mdc.edu/main/testing,MIAMI DADE COLLEGE WEST CAMPUS,305) 237-8536
235,"300 NE 2ND AVENUE, ROOM 3104",MIAMI,FL,33132,9626,http://www.mdc.edu/main/testing,MIAMI DADE COLLEGE - WOLFSON CAMPUS,305) 237-3188
236,100 COLLEGE BLVD E.,NICEVILLE,FL,32578,7150,http://www.nwfsc.edu/,NORTHWEST FLORIDA STATE COLLEGE,850) 729-6016
237,221 LUKASIK AVENUE,HURLBURT FIELD,FI,32544,7114,http://www.nwfsc.edu/,NORTHWEST FLORIDA STATE COLLEGE - HURLBURT AFB,850) 200-4190
238,"TTC/COUS - STUDENT AFFAIRS BLDG., 2ND FL., 3301 COLLEGE AVENUE",FORT LAUDERDALE,LA,33314,9876,http://www.nova.edu/,NOVA SOUTHEASTERN UNIVERSITY,954-262-8373
239,1000 COLLEGE BLVD.,PENSACOLA,FL,32504,9800,http://www.pensacolastate.edu,PENSACOLA STATE COLLEGE,850-484-1659
240,5988 HIGHWAY 90,MILTON,FL,1798,8772,http://www.pensacolastate.edu/,PENSACOLA STATE COLLEGE - MILTON CAMPUS,850) 484-4410
241,5555 WEST HIGHWAY 98,PENSACOLA,FL,1097,8786,http://www.pensacolastate.edu,PENSACOLA STATE COLLEGE-WARRINGTON CAMPUS,850) 484-1076
242,"8102 CONDOR STREET, BUILDING 252",MACDILL AFB,AF,33621,7177,http://www.saintleo.edu/,SAINT LEO UNIVERSITY,813-840-0259
243,"NAVAL AIR STATION KEY WEST, BLDG A-718, ESSEX CIRCLE",KEY WEST,WE,9033,7337,http://www.saintleo.edu/,SAINT LEO UNIVERSITY,305-293-2847
244,325 NW TURNER DAVIS DRIVE,MADISON,FL,32340,9408,http://www.saintleo.edu/,SAINT LEO UNIVERSITY,850-973-3356
245,"1120 EAST KENNEDY BLVD, SUITE 238",TAMPA,FL,33602,8320,http://www.saintleo.edu/,SAINT LEO UNIVERSITY,813-226-2777
246,149 SOUTHEAST COLLEGE PLACE,LAKE CITY,CI,8307,9378,http://www.saintleo.edu/,SAINT LEO UNIVERSITY - LAKE CITY CENTER,386-752-6866
247,3000 NW 83RD ST,GAINSVILLE,FL,32606,9470,http://www.sfcc.edu/,SANTA FE COMMUNITY COLLEGE,352-395-5791
248,7959,SCHOOL OF VIRTUAL AND ACADEMIC EXCELLENCE,OF,,7959,"MIAMI, FL   33186",SCHOOL OF VIRTUAL AND ACADEMIC EXCELLENCE,13416 SW 131ST STREET
249,"850 S. STATE ROAD, SUITE A-103",ALTAMONTE SPRINGS,SP,32714,7805,http://www.seminolestate.edu/,SEMINOLE STATE COLLEGE OF FLORIDA - ALTAMONTE SPRINGS CAMPUS,407) 404-6137
250,"1055 AAA DRIVE, SUITE 332",HEATHROW,FL,32746,7818,http://www.seminolestate.edu/,SEMINOLE STATE COLLEGE OF FLORIDA - HEATHROW CAMPUS,407) 708-4420
251,"2505 LOCKWOOD BOULEVARD, SUITE F-102",OVIEDO,FL,32765,7812,http://www.seminolestate.edu/,SEMINOLE STATE COLLEGE OF FLORIDA - OVIEDO CAMPUS,407) 971-5014
252,"ASSESSMENT &AMP; TESTING CENTER, 100 WELDON BLVD",SANFORD,FL,32773,8624,http://www.seminolestate.edu/,SEMINOLE STATE COLLEGE OF FLORIDA - SANFORD/LAKE MARY,407) 708-2020
253,1000 LONGFELLOW BLVD,LAKELAND,FL,33801,8643,http://www.seu.edu/,SOUTHEASTERN UNIVERSITY,863-667-5000
254,225 BUSCH BLVD,TAMPA,FL,33612,9444,http://www.springfieldcollege.edu/,SPRINGFIELD COLLEGE,813-936-2800
255,"11025 RCA CENTER DRIVE, SUITE 200",PALM BEACH GARDENS,BE,33410,7819,http://www.strayer.edu/,STRAYER UNIVERSITY,561-904-3029
256,"2307 W. BROWARD BOULEVARD, STE 100",FORT LAUDERDALE,LA,33312,7874,http://www.strayer.edu/,STRAYER UNIVERSITY,954-745-6960
257,"11430 NW 20TH ST, SUITE 150",MIAMI,FL,33172,8052,http://www.strayer.edu/,STRAYER UNIVERSITY,305-507-5729
258,8541 SOUTH PARK CIRCLE SUITE 310,ORLANDO,FL,32819,7774,http://www.strayer.edu/,STRAYER UNIVERSITY,407-264-9429
259,"850 TRAFALGAR CT , SUITE 360",MAITLAND,FL,32751,9427,http://www.strayer.edu/,STRAYER UNIVERSITY,407-618-5929
260,5830 CORAL RIDGE DR SUITE 300,CORAL SPRINGS,SP,33076,7798,http://www.strayer.edu/,STRAYER UNIVERSITY,954-369-0700
261,"4902 EISENHOWER BLVD, STE 100",TAMPA,FL,33634,9944,http://www.strayer.edu/,STRAYER UNIVERSITY,813-249-2461
262,"2200 NORTH ALAFAYA TRAIL, SUITE 500",ORLANDO,FL,32826,8644,http://www.strayer.edu/,STRAYER UNIVERSITY,407-926-2029
263,"5650 BRECKENRIDGE PARK DR, STE 300",TAMPA,FL,33610,9073,http://www.strayer.edu/,STRAYER UNIVERSITY,813-664-9733
264,8375 DIX-ELLIS TRAIL STE 200,JACKSONVILLE,FL,32256,7760,http://www.strayer.edu/,STRAYER UNIVERSITY,904-538-1029
265,1201 BRICKELL AVENUE,MIAMI,FL,33131,7972,http://www.strayer.edu/,STRAYER UNIVERSITY - BRICKELL CAMPUS,305) 507-5829
266,15620 SW 29TH STREET,MIRAMAR,FL,33027,7937,http://www.strayer.edu/,STRAYER UNIVERSITY/MIRAMAR,954-378-2429
267,16401 NW 37TH AVENUE,MIAMI GARDENS,GA,33054,7857,http://www.stu.edu/,ST. THOMAS UNIVERSITY,305-474-6838
268,502 WEST D AVE,EGLIN AFB,AF,32542,7357,http://www.umuc.edu/,UNIVERSITY OF MARYLAND UNIVERSITY COLLEGE,850-882-1321
269,"8325 SOUTH PARK CIRCLE, SUITE 100",ORLANDO,FL,32819,8979,http://www.phoenix.edu/campus-locations/fl/central-florida-campus/central-florida-main-campus.html,UNIVERSITY OF PHOENIX - CENTRAL FLORIDA CAMPUS,407) 345 8868
270,550 W. CYPRESS CREEK ROAD,FORT LAUDERDALE,LA,33309,8885,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX - CYPRESS CREEK LEARNING CENTER,954) 308-7051
271,"4500 SALISBURY ROAD N. , SUITE 200",JACKSONVILLE,FL,32216,8280,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX - NORTH FLORIDA CAMPUS,904) 779-4552
272,"2400 SW 145TH AVE, SUITE 150",MIRAMAR,FL,33027,9032,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX - SOUTH FLORIDA MAIN CAMPUS,866) 766-0766
273,"12802 TAMPA OAKS BLVD, SUITE 100",TEMPLE TERRACE,TE,33637,8960,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX - WEST FLORIDA LEARNING CENTER,813) 626 7911
274,3220 USF BANYAN CIRCLE,TAMPA,FL,33613,7917,http://www.usf.edu/testing-services/,UNIVERSITY OF SOUTH FLORIDA,813) 974-2742
275,1201 NORTH SCENIC HWY,BABSON PARK,PA,33827,8994,http://www.webber.edu/,WEBBER COLLEGE,941-638-1431
276,8950 STIRLING RD,COOPER CITY,CI,33024,8773,http://www.westlakeschool.com/,WESTLAKE PREPARATORY SCHOOL,954) 236-2300
277,"15190 SW 136 ST, SUITE 26",MIAMI,FL,33196,8365,http://worldhopeacademy.org/,WORLD HOPE ACADEMY,786-592-2384
278,2802 MOORE HIGHWAYABAC BOX 50,TIFTON,GA,31793,8268,http://stallion.abac.peachnet.edu/,ABRAHAM BALDWIN AGRICULTURAL COLLEGE,229-391-4817
279,"504 COLLEGE DRIVE, ACAD 195",ALBANY,GA,31705,9727,http://www.asurams.edu/,ALBANY STATE UNIVERSITY,229-430-1631
280,AMPRESS GLOBAL,1401 PEACHTREE STREET NE,PE,,8817,404) 410-9999,AMPRESS GLOBAL,"ATLANTA, GA   30309"
281,"5825 LIVE OAK PARKWAY, SUITE 2A",NORCROSS,GA,30093,8677,http://www.aonestaffing.com/,A-ONE STAFFING LLC,770-595-9045
282,11935 ABERCORN ST,SAVANNAH,GA,31419,9046,http://www.armstrong.edu/,ARMSTRONG ATLANTIC STATE UNIVERSITY,912-344-2582
283,1001 S. ARMED FORCES BLVD,WARNER ROBINS,RO,31088,9297,http://gavectr.org/services.html,CENTRAL GEORGIA TECHNICAL COLLEGE (VECTR),478) 218-3915
284,"3664 CLUB DRIVE, SUITE 101",LAWRENCEVILLE,GA,30044,8552,http://www.cierratec.com/,CIERRA TEC,678-389-4322
285,"165 MARKWELL STREET, BUILDING 1290, SUITE 16",HUNTER ARMY AIR FIELD,AR,31409,7235,http://www.ccis.edu/nationwide/hunter/,COLUMBIA COLLEGE,912-352-8635
286,"100 KNOWLEDGE DRIVE, SUITE 147",FORT STEWART,ST,31314,7103,http://www.ccis.edu/nationwide/ftstewart/,COLUMBIA COLLEGE,912 767-7558
287,4225 UNIVERSITY AVE,COLUMBUS,GA,5647,9113,http://www.columbusstate.edu/,COLUMBUS STATE UNIVERSITY,706-568-2226
288,"5304 PANOLA INDUSTRIAL BLVD, SUITE I",DECATUR,GA,30035,9258,http://www.csp2online.com,COMPUTER SERVICES PLUS ONLINE,770) 609-7180
289,650 COLLEGE DRIVE,DALTON,GA,30720,7754,http://www.daltonstate.edu,DALTON STATE COLLEGE,706-272-2606
290,2555 NORTHWINDS PARKWAY,ALPHARETTA,GA,30009,7821,http://www.devry.edu/,DEVRY UNIVERSITY,770-619-3570
291,"ONE WEST COURT SQUARE, STE 100",DECATUR,GA,30030,7826,http://www.devry.edu/,DEVRY UNIVERSITY,404-270-2706
292,1000 UNIVERSITY CENTER LANE,LAWRENCEVILLE,GA,30043,9120,http://www.ggc.edu/,GEORGIA GWINNETT COLLEGE,678) 407-5240
293,"2101 WOMACK ROAD, BLDG NC, RM 1261",DUNWOODY,GA,30338,8124,http://www.gpc.edu/,GEORGIA PERIMETER COLLEGE,770-551-5443
294,2500 WALTON WAY,AUGUSTA,GA,2200,9049,http://www.gru.edu/,GEORGIA REGENTS UNIVERSITY,706-737-1471
295,"HERTY DRIVE, CONE HALL, ROOM 2031",STATESBORO,GA,30460,8039,http://academics.georgiasouthern.edu/testing/,GEORGIA SOUTHERN UNIVERSITY,912-478-5415
296,"75 PIEDMONT AVENUE NE, SUITE 200 A",ATLANTA,GA,30303,9700,http://www.gsu.edu/,GEORGIA STATE UNIVERSITY,404-413-1736
297,419 COLLEGE DRIVE,BARNESVILLE,GA,30204,9231,http://www.gordonstate.edu/,GORDON STATE COLLEGE,678-359-5139
298,"3333 BUSBEE DRIVE, MD3313 KSU CENTER SUITE 350",KENNESAW,GA,30144,8902,http://testing.kennesaw.edu/,KENNESAW STATE UNIVERSITY - KENNESAW,470) 578-4800
299,1100 SOUTH MARIETTA PARKWAY MD 9051/BUILDING J ROOM 160,MARIETTA,GA,30060,8903,http://testing.kennesaw.edu/,KENNESAW STATE UNIVERSITY - MARIETTA,470) 578-3982
300,601 BROAD ST,LA GRANGE,GR,30240,8105,http://www.lagrange.edu/,LAGRANGE COLLEGE,706-880-8924
301,1269 BARCLAY CIRCLE,MARIETTA,GA,30060,9647,http://www.life.edu/,LIFE UNIVERSITY,770) 426-2723
302,100 COLLEGE STATION DRIVE,MACON,GA,31206,8770,http://www.mga.edu/testing-services/dantes.aspx,MIDDLE GEORGIA STATE UNIVERSITY,478) 757-2547
303,100 UNIVERSITY BLVD,WARNER ROBINS,RO,31093,7351,http://www.maconstate.edu/,MIDDLE GEORGIA STATE UNIVERSITY,478) 471 2700
304,2605 BEN HILL ROAD,EAST POINT,PO,30344,7719,http://www.acc.edu/,POINT UNIVERSITY,404-460-2480
305,"259 WHITING HALL, TOMPKINS ROAD",SAVANNAH,GA,31404,8117,http://www.savannahstate.edu/,SAVANNAH STATE UNIVERSITY,912) 356-2744
306,"3000 CORPORATE CENTER, SUITE 100",MORROW,GA,30260,9483,http://www.strayer.edu/,STRAYER UNIVERSITY,678-422-4129
307,"100 MANSELL COURT EAST, SUITE 100",ROSWELL,GA,30076,9227,http://www.strayer.edu/,STRAYER UNIVERSITY,770-650-3029
308,"TESTING OFFERED FOR STRAYER UNIVERSITY STUDENTS ONLY3120 STONECREST BLVD, SUITE 200",LITHONIA,GA,30038,7733,http://www.strayer.edu/,STRAYER UNIVERSITY,678) 323-7729
309,"3355 NORTHEAST EXPRESSWAY, STE 100",ATLANTA,GA,30341,8096,http://www.strayer.edu/,STRAYER UNIVERSITY,770-234-0637
310,20 MARTIN COURT,SAVANNAH,GA,31419,7848,http://www.strayer.edu/,STRAYER UNIVERSITY,912-921-2929
311,6003 VETERANS PARKWAY,COLUMBUS,GA,31909,7781,http://www.strayer.edu/,STRAYER UNIVERSITY,706-225-5329
312,4655 TIMBER RIDGE DRIVE,DOUGLASVILLE,GA,30135,7724,http://www.strayer.edu/,STRAYER UNIVERSITY,678-715-2229
313,1330 AUGUSTA WEST PARKWAY,AUGUSTA,GA,30909,7855,http://www.strayer.edu/,STRAYER UNIVERSITY,706-447-3629
314,"BUILDING 9230, SUITE 1323",FORT BENNING,BE,2456,7186,http://www.troy.edu/,TROY UNIVERSITY,706) 660-2318
315,"2743 PERIMETER PARKWAY, SUITE 201",AUGUSTA,GA,30909,9808,http://www.troy.edu/,TROY UNIVERSITY,706-210-2823
316,"741 BARNES AVENUE, BLDG 21606",FORT GORDON,GO,5136,7126,http://www.troy.edu/,TROY UNIVERSITY - FORT GORDON,706) 210-3800
317,"271 HERITAGE PARK LANE EDUCATION CENTER, BLDG 35200",FORT GORDON,GO,30905,7374,http://www.umuc.edu/military-and-veterans/why-umuc/worldwide-and-regional-locations.cfm,UMUC US- FORT GORDAN,301) 832-7103
318,82 COLLEGE CIRCLE,DAHLONEGA,GA,30597,9212,http://www.ung.edu/testing/,UNIVERSITY OF NORTH GEORGIA - DAHLONEGA CAMPUS,706-864-1799
319,3820 MUNDY MILL ROAD,OAKWOOD,GA,30566,9209,http://www.ung.edu/testing/,UNIVERSITY OF NORTH GEORGIA - GAINESVILLE CAMPUS,678-717-3863
320,1201 BISHOP FARMS PARKWAY,WATKINSVILLE,GA,30677,9215,http://www.ung.edu/testing/,UNIVERSITY OF NORTH GEORGIA - OCONEE CAMPUS,706-310-6308
321,"3150 PERIMETER PARKWAY, STE 100",AUGUSTA,GA,30909,7853,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX - AUGUSTA CAMPUS,706) 868-2013
322,7200 NORTH LAKE DRIVE,COLUMBUS,GA,31909,8939,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX - COLUMBUS NORTH LAKE CAMPUS,706) 317-3924
323,859 MT. VERNON HWY NE,ATLANTA,GA,30328,8686,http://www.phoenix.edu/campus-locations/ga/atlanta-campus/dekalb-learning-center.html,UNIVERSITY OF PHOENIX - DEKALB LEARNING CENTER,678-731-0555
324,"8200 ROBERTS DRIVE, SUITE 300",ATLANTA,GA,30350,8774,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX -SANDY SPRINGS LEARNING CENTER,678) 320-6005
325,1500 N. PATTERSON ST,VALDOSTA,GA,31698,8350,http://www.valdosta.peachnet.edu/,VALDOSTA STATE COLLEGE,229-245-3878
326,8001 LAKES BLVD,KINGSLAND,GA,31548,7106,http://www.valdosta.edu/,VALDOSTA STATE UNIVERSITY-CAMDEN CENTER,912-882-6573
327,"23RD FSS/FSD, 3010 ROBINSON ROAD",MOODY AFB,AF,1518,7251,http://www.wiregrass.edu/,WIREGRASS GA TECHNICAL COLLEGE,229) 253-9571
